# WM/Wss	Wm/Wss  	T/T			P/P0		Wmean/Wss		G
1.000		1.000		1.00		0.965917	1.000		1.2557
1.075      	0.145      	2.70750737	0.979545	0.517872	1.3142
1.375      	0.955      	2.51249848	1.037372	1.157798	0.8477
1.275      	0.595      	1.73249891	0.994262	0.931013	1.0347
1.325      	0.325      	2.31749748	0.984019	0.759393	1.1300
1.025      	0.415      	1.53749593	0.971670	0.723752	1.2742
1.175      	0.505      	1.34249862	0.985401	0.867369	1.1012
1.225      	0.235      	2.90249411	0.977901	0.640996	1.2381
1.475      	0.865      	1.92750333	1.041111	1.163478	0.8360
1.125      	0.775      	1.14749547	1.000638	1.004680	0.9965
1.425      	0.685      	2.12250222	1.013295	1.037613	0.9348
1.030		0.030		1.050000	0.987088	0.338161	1.3553
1.030		0.030		3.000000	0.986366	0.334533	1.3815
0.9			0.446587	3.			0.96589106	0.646287	1.4187
1			0.446587	6.			0.97042533	0.678881	1.3238
1.265		0.18666667	4.675		1.02707745	1.091254	0.8789		
1.42166667	0.81333333	3.375		0.98517108	0.61232		1.1686	
1.10833333	0.5			4.025		0.97916957	0.76829042	1.1798
1.030000	0.970000	5.000000	0.997478	0.999406	1.01
0.0300		0.9700		4.2326		0.997478	0.9994		1.17
1.0300		0.6807		4.1996		0.976897	0.8420		1.19
1.5			0.97		5.000		1.061746	1.212925	0.77
1.2054		0.3810		4.2655		0.978596	0.7288		1.1945
1.2104		0.3446		4.2009		0.973477	0.7038		1.2554
0.1001		0.0699		1.0507		1.001517	0.0901		0.1362
0.2536		0.2235		3.8247		0.991074	0.2486		1.7227
1.5000		0.5304		4.9999		1.002183	0.9405		0.9877
0.6286		0.5985		1.0512 		0.967361	0.5645		1.5478
0.734823	0.310678	2.352809	0.973456	0.5123		1.5026
0.737069	0.030057	4.999207	0.987944	0.2835		1.5215
0.630371	0.600365	1.050042	0.966689	0.5662		1.5565
0.640243	0.610226	1.050222	0.964025	0.5755		1.5820
0.667570	0.637547	1.869007	0.967268	0.6543		1.4119
0.675272	0.645238	1.050406	0.963704	0.6094		1.5254
0.6322		0.6022		2.1727		0.965531	0.6192		1.4831
0.6327		0.6027		2.096		0.963183	0.6198		1.5151
0.645741	0.615735	1.881975	0.966305 	0.63276		1.4527

1.5000		0.0300		1.0500		1.136088	1.3758		0.6176
0.3143		0.2843		4.9841		0.985103	0.3071		1.8070
0.3958		0.3658		4.2619		0.980391	0.3851		1.6788
1.1146		0.3125		3.7669		0.976978	0.6511		1.2555
1.0521		0.2864		4.0559		0.971967	0.6063		1.3563
1.0791		0.2983		3.8549		0.972376	0.6263		1.3331
1.1387		0.3427		3.6978		0.978823	0.6830		1.2167
